query_group,query_display,target_group,shift_windows,shift_frames,status,mrr,top1_accuracy,top5_accuracy,top10_accuracy,median_rank,mean_rank,num_queries
motion_capture,Motion Capture,depth_plus_video,-40,-200,derived_perturbation,0.02984776347875595,0.006493506493506494,0.032467532467532464,0.048701298701298704,119.0,125.72402954101562,308
motion_capture,Motion Capture,depth_plus_video,-20,-100,derived_perturbation,0.019169922918081284,0.003048780487804878,0.003048780487804878,0.018292682926829267,153.0,154.24085998535156,328
motion_capture,Motion Capture,depth_plus_video,-10,-50,derived_perturbation,0.01829293556511402,0.0,0.0029585798816568047,0.023668639053254437,106.0,130.5325469970703,338
motion_capture,Motion Capture,depth_plus_video,-5,-25,derived_perturbation,0.028951412066817284,0.0,0.014577259475218658,0.05830903790087463,67.0,89.93585968017578,343
motion_capture,Motion Capture,depth_plus_video,0,0,derived_perturbation,0.2553335726261139,0.15804597701149425,0.35344827586206895,0.3994252873563218,21.5,49.181034088134766,348
motion_capture,Motion Capture,depth_plus_video,5,25,derived_perturbation,0.04436318948864937,0.008746355685131196,0.037900874635568516,0.08746355685131195,64.0,83.76384735107422,343
motion_capture,Motion Capture,depth_plus_video,10,50,derived_perturbation,0.026273079216480255,0.0,0.014792899408284023,0.047337278106508875,77.0,106.73668670654297,338
motion_capture,Motion Capture,depth_plus_video,20,100,derived_perturbation,0.023496314883232117,0.003048780487804878,0.018292682926829267,0.04573170731707317,108.5,137.9176788330078,328
motion_capture,Motion Capture,depth_plus_video,40,200,derived_perturbation,0.02917252667248249,0.006493506493506494,0.025974025974025976,0.05519480519480519,110.5,121.33441925048828,308
pose_slam,Pose + SLAM,depth_plus_video,-40,-200,derived_perturbation,0.03615332394838333,0.003246753246753247,0.03571428571428571,0.07467532467532467,98.0,114.43506622314453,308
pose_slam,Pose + SLAM,depth_plus_video,-20,-100,derived_perturbation,0.02059117704629898,0.003048780487804878,0.012195121951219513,0.024390243902439025,109.5,137.0731658935547,328
pose_slam,Pose + SLAM,depth_plus_video,-10,-50,derived_perturbation,0.04128313437104225,0.005917159763313609,0.038461538461538464,0.07692307692307693,72.0,103.94674682617188,338
