test_position,true_rank,top_candidate_position,top_candidate_score,true_score,window_index,center_frame
0,1,0,0.9983909726142883,0.9983909726142883,813,4074
1,2,0,0.9973791241645813,0.9971454739570618,814,4079
2,2,1,0.9976264238357544,0.997610867023468,815,4084
3,1,3,0.9966398477554321,0.9966398477554321,816,4089
4,1,4,0.9944726824760437,0.9944726824760437,817,4094
5,1,5,0.9938467741012573,0.9938467741012573,818,4099
6,1,6,0.9931591749191284,0.9931591749191284,819,4104
7,1,7,0.9937207102775574,0.9937207102775574,820,4109
8,1,8,0.993741512298584,0.993741512298584,821,4114
9,1,9,0.9944698810577393,0.9944698810577393,822,4119
10,2,9,0.9946494102478027,0.9944612383842468,823,4124
11,2,10,0.9960058331489563,0.9956515431404114,824,4129
12,3,11,0.9970290660858154,0.9960825443267822,825,4134
13,1,13,0.9969061017036438,0.9969061017036438,826,4139
14,1,14,0.995006263256073,0.995006263256073,827,4144
15,2,14,0.9933136105537415,0.993188738822937,828,4149
16,5,14,0.9917446970939636,0.9913313984870911,829,4154
17,8,14,0.9906889796257019,0.9903010129928589,830,4159
18,4,14,0.9921820759773254,0.9919687509536743,831,4164
19,7,22,0.9951152801513672,0.9947377443313599,832,4169
20,6,22,0.9963948130607605,0.9961665272712708,833,4174
21,4,14,0.9974367618560791,0.9973040223121643,834,4179
22,1,22,0.9978368878364563,0.9978368878364563,835,4184
23,3,22,0.9974267482757568,0.997320294380188,836,4189
24,2,23,0.9946662783622742,0.994648814201355,837,4194
25,4,23,0.9946384429931641,0.9941611289978027,838,4199
26,1,26,0.9938153028488159,0.9938153028488159,839,4204
27,6,29,0.9938684701919556,0.9934437870979309,840,4209
28,4,29,0.9953173995018005,0.9946378469467163,841,4214
29,1,29,0.9944014549255371,0.9944014549255371,842,4219
30,2,70,0.9949893951416016,0.9949234127998352,843,4224
31,1,31,0.9901334643363953,0.9901334643363953,844,4229
32,1,32,0.9746875762939453,0.9746875762939453,845,4234
33,1,33,0.9533136487007141,0.9533136487007141,846,4239
34,1,34,0.9634358286857605,0.9634358286857605,847,4244
35,1,35,0.9630885124206543,0.9630885124206543,848,4249
36,1,36,0.9752102494239807,0.9752102494239807,849,4254
37,3,116,0.9831991791725159,0.9826110601425171,850,4259
38,2,26,0.9837760925292969,0.9837446808815002,851,4264
39,26,30,0.989401638507843,0.9881520867347717,852,4269
40,27,29,0.9892401695251465,0.9875959157943726,853,4274
41,24,29,0.9925388097763062,0.9912863373756409,854,4279
42,28,29,0.9940736889839172,0.9928416013717651,855,4284
43,27,29,0.9947360157966614,0.9934634566307068,856,4289
44,22,29,0.9952558875083923,0.9942704439163208,857,4294
45,17,29,0.995048999786377,0.9942538142204285,858,4299
46,6,29,0.995080292224884,0.9945043325424194,859,4304
47,12,29,0.9954303503036499,0.9949867129325867,860,4309
48,11,57,0.995823085308075,0.9954181909561157,861,4314
49,15,29,0.9956502914428711,0.9951262474060059,862,4319
50,22,29,0.9955756068229675,0.9948050379753113,863,4324
51,15,29,0.9962530136108398,0.9956192374229431,864,4329
