task,task_display,status,window_index,start_frame,end_frame,center_frame,true_value,predicted_value,confidence,correct
timeline_action,Current Action Recognition,observed_prediction,814,4070,4089,4079,Close bottle cap,Close bottle cap,0.9614766836166382,1
timeline_action,Current Action Recognition,observed_prediction,815,4075,4094,4084,Close bottle cap,Close bottle cap,0.9060729146003723,1
timeline_action,Current Action Recognition,observed_prediction,816,4080,4099,4089,Close bottle cap,Close bottle cap,0.9094582200050354,1
timeline_action,Current Action Recognition,observed_prediction,817,4085,4104,4094,Close bottle cap,Close bottle cap,0.9192006587982178,1
timeline_action,Current Action Recognition,observed_prediction,818,4090,4109,4099,Close bottle cap,Close bottle cap,0.4563400447368622,1
timeline_action,Current Action Recognition,observed_prediction,819,4095,4114,4104,Close bottle cap,Pour liquid from white bottle,0.8612736463546753,0
timeline_action,Current Action Recognition,observed_prediction,820,4100,4119,4109,Close bottle cap,Pour liquid from white bottle,0.995844304561615,0
timeline_action,Current Action Recognition,observed_prediction,821,4105,4124,4114,Close bottle cap,Pour liquid from white bottle,0.9990665316581726,0
timeline_action,Current Action Recognition,observed_prediction,822,4110,4129,4119,Close bottle cap,Pour liquid from white bottle,0.9990559220314026,0
timeline_action,Current Action Recognition,observed_prediction,823,4115,4134,4124,Close bottle cap,Pour liquid from white bottle,0.9975965619087219,0
timeline_action,Current Action Recognition,observed_prediction,824,4120,4139,4129,Close bottle cap,Pour liquid from white bottle,0.9955922961235046,0
timeline_action,Current Action Recognition,observed_prediction,825,4125,4144,4134,Close bottle cap,Pour liquid from white bottle,0.9297770261764526,0
timeline_action,Current Action Recognition,observed_prediction,826,4130,4149,4139,Close bottle cap,Pour liquid from white bottle,0.5903907418251038,0
timeline_action,Current Action Recognition,observed_prediction,827,4135,4154,4144,Close bottle cap,Move kettle away,0.5007221102714539,0
timeline_action,Current Action Recognition,observed_prediction,828,4140,4159,4149,Close bottle cap,Pour liquid from white bottle,0.3735993802547455,0
timeline_action,Current Action Recognition,observed_prediction,829,4145,4164,4154,Close bottle cap,Pour liquid from white bottle,0.7122005820274353,0
timeline_action,Current Action Recognition,observed_prediction,830,4150,4169,4159,Close bottle cap,Pour liquid from white bottle,0.7186502814292908,0
timeline_action,Current Action Recognition,observed_prediction,831,4155,4174,4164,Close bottle cap,Pour liquid from white bottle,0.6736355423927307,0
timeline_action,Current Action Recognition,observed_prediction,832,4160,4179,4169,Close bottle cap,Pour liquid from white bottle,0.5904861688613892,0
timeline_action,Current Action Recognition,observed_prediction,833,4165,4184,4174,Close bottle cap,Pour liquid from white bottle,0.7091046571731567,0
timeline_action,Current Action Recognition,observed_prediction,834,4170,4189,4179,Close bottle cap,Pour liquid from white bottle,0.6469100117683411,0
timeline_action,Current Action Recognition,observed_prediction,835,4175,4194,4184,Close bottle cap,Pour liquid from white bottle,0.7691445350646973,0
timeline_action,Current Action Recognition,observed_prediction,836,4180,4199,4189,Close bottle cap,Pour liquid from white bottle,0.4380119740962982,0
timeline_action,Current Action Recognition,observed_prediction,837,4185,4204,4194,Close bottle cap,Pick up kettle,0.7379541993141174,0
timeline_action,Current Action Recognition,observed_prediction,838,4190,4209,4199,Close bottle cap,Pick up kettle,0.8976097106933594,0
timeline_action,Current Action Recognition,observed_prediction,839,4195,4214,4204,Close bottle cap,Pick up kettle,0.9307690262794495,0
timeline_action,Current Action Recognition,observed_prediction,840,4200,4219,4209,Close bottle cap,Pick up kettle,0.9344055652618408,0
timeline_action,Current Action Recognition,observed_prediction,841,4205,4224,4214,Close bottle cap,Pick up kettle,0.7654641270637512,0
timeline_action,Current Action Recognition,observed_prediction,842,4210,4229,4219,Close bottle cap,Pick up kettle,0.7821319699287415,0
timeline_action,Current Action Recognition,observed_prediction,843,4215,4234,4224,Close bottle cap,Pick up kettle,0.9651442170143127,0
timeline_action,Current Action Recognition,observed_prediction,844,4220,4239,4229,Close bottle cap,Pick up kettle,0.9930558800697327,0
timeline_action,Current Action Recognition,observed_prediction,845,4225,4244,4234,Close bottle cap,Close bottle cap,0.5737177133560181,1
